schema,class,fragment,type,status,compilation,first_error,timestamp
jansi.src.main.org.fusesource.jansi.internal.Kernel32,26-538:Kernel32,40-40:FOREGROUND_INTENSITY,field,attempted,success,,2026-06-18T20:19:23.358777
jansi.src.main.org.fusesource.jansi.internal.Kernel32,26-538:Kernel32,41-41:BACKGROUND_BLUE,field,attempted,success,,2026-06-18T20:19:23.409678
jansi.src.main.org.fusesource.jansi.internal.Kernel32,26-538:Kernel32,42-42:BACKGROUND_GREEN,field,attempted,success,,2026-06-18T20:19:23.457809
jansi.src.main.org.fusesource.jansi.internal.Kernel32,26-538:Kernel32,43-43:BACKGROUND_RED,field,attempted,success,,2026-06-18T20:19:23.506170
jansi.src.main.org.fusesource.jansi.internal.Kernel32,26-538:Kernel32,44-44:BACKGROUND_INTENSITY,field,attempted,success,,2026-06-18T20:19:23.554259
jansi.src.main.org.fusesource.jansi.internal.Kernel32,26-538:Kernel32,45-45:COMMON_LVB_LEADING_BYTE,field,attempted,success,,2026-06-18T20:19:23.602058
jansi.src.main.org.fusesource.jansi.internal.Kernel32,26-538:Kernel32,46-46:COMMON_LVB_TRAILING_BYTE,field,attempted,success,,2026-06-18T20:19:23.650026
jansi.src.main.org.fusesource.jansi.internal.Kernel32,26-538:Kernel32,47-47:COMMON_LVB_GRID_HORIZONTAL,field,attempted,success,,2026-06-18T20:19:23.697694
jansi.src.main.org.fusesource.jansi.internal.Kernel32,26-538:Kernel32,48-48:COMMON_LVB_GRID_LVERTICAL,field,attempted,success,,2026-06-18T20:19:23.745288
jansi.src.main.org.fusesource.jansi.internal.Kernel32,26-538:Kernel32,49-49:COMMON_LVB_GRID_RVERTICAL,field,attempted,success,,2026-06-18T20:19:23.793256
jansi.src.main.org.fusesource.jansi.internal.Kernel32,26-538:Kernel32,50-50:COMMON_LVB_REVERSE_VIDEO,field,attempted,success,,2026-06-18T20:19:23.841278
jansi.src.main.org.fusesource.jansi.internal.Kernel32,26-538:Kernel32,51-51:COMMON_LVB_UNDERSCORE,field,attempted,success,,2026-06-18T20:19:23.889309
jansi.src.main.org.fusesource.jansi.internal.Kernel32,26-538:Kernel32,52-52:FORMAT_MESSAGE_FROM_SYSTEM,field,attempted,success,,2026-06-18T20:19:23.937558
jansi.src.main.org.fusesource.jansi.internal.Kernel32,26-538:Kernel32,53-53:STD_INPUT_HANDLE,field,attempted,success,,2026-06-18T20:19:23.985575
jansi.src.main.org.fusesource.jansi.internal.Kernel32,26-538:Kernel32,54-54:STD_OUTPUT_HANDLE,field,attempted,success,,2026-06-18T20:19:24.037202
jansi.src.main.org.fusesource.jansi.internal.Kernel32,26-538:Kernel32,55-55:STD_ERROR_HANDLE,field,attempted,success,,2026-06-18T20:19:24.085582
jansi.src.main.org.fusesource.jansi.internal.Kernel32,26-538:Kernel32,56-56:INVALID_HANDLE_VALUE,field,attempted,success,,2026-06-18T20:19:24.133917
jansi.src.main.org.fusesource.jansi.internal.Kernel32,26-538:Kernel32,35-35:init_,method,completed,success,Compilation successful,2026-06-18T20:19:51.255571
jansi.src.main.org.fusesource.jansi.internal.Kernel32,26-538:Kernel32,58-58:malloc,method,completed,success,Compilation successful,2026-06-18T20:20:10.474718
jansi.src.main.org.fusesource.jansi.internal.Kernel32,26-538:Kernel32,60-60:free,method,completed,success,Compilation successful,2026-06-18T20:20:30.649901
jansi.src.main.org.fusesource.jansi.internal.Kernel32,26-538:Kernel32,101-101:SetConsoleTextAttribute,method,completed,success,Compilation successful,2026-06-18T20:20:58.410804
jansi.src.main.org.fusesource.jansi.internal.Kernel32,26-538:Kernel32,158-158:WaitForSingleObject,method,completed,success,Compilation successful,2026-06-18T20:21:17.031711
jansi.src.main.org.fusesource.jansi.internal.Kernel32,26-538:Kernel32,163-163:CloseHandle,method,completed,success,Compilation successful,2026-06-18T20:21:36.617864
jansi.src.main.org.fusesource.jansi.internal.Kernel32,26-538:Kernel32,168-168:GetLastError,method,completed,success,Compilation successful,2026-06-18T20:21:56.299228
jansi.src.main.org.fusesource.jansi.internal.Kernel32,26-538:Kernel32,170-171:FormatMessageW,method,completed,success,Compilation successful,2026-06-18T20:22:18.134724
jansi.src.main.org.fusesource.jansi.internal.Kernel32,26-538:Kernel32,176-177:GetConsoleScreenBufferInfo,method,completed,success,Compilation successful,2026-06-18T20:22:37.756497
jansi.src.main.org.fusesource.jansi.internal.Kernel32,26-538:Kernel32,182-182:GetStdHandle,method,completed,success,Compilation successful,2026-06-18T20:22:47.510039
jansi.src.main.org.fusesource.jansi.internal.Kernel32,26-538:Kernel32,187-187:SetConsoleCursorPosition,method,completed,success,Compilation successful,2026-06-18T20:23:06.314555
jansi.src.main.org.fusesource.jansi.internal.Kernel32,26-538:Kernel32,192-193:FillConsoleOutputCharacterW,method,completed,success,Compilation successful,2026-06-18T20:23:36.752343
jansi.src.main.org.fusesource.jansi.internal.Kernel32,26-538:Kernel32,198-199:FillConsoleOutputAttribute,method,completed,success,Compilation successful,2026-06-18T20:23:57.121104
jansi.src.main.org.fusesource.jansi.internal.Kernel32,26-538:Kernel32,204-205:WriteConsoleW,method,completed,success,Compilation successful,2026-06-18T20:24:18.613138
jansi.src.main.org.fusesource.jansi.internal.Kernel32,26-538:Kernel32,210-210:GetConsoleMode,method,completed,success,Compilation successful,2026-06-18T20:24:38.912772
jansi.src.main.org.fusesource.jansi.internal.Kernel32,26-538:Kernel32,215-215:SetConsoleMode,method,completed,success,Compilation successful,2026-06-18T20:25:09.508924
jansi.src.main.org.fusesource.jansi.internal.Kernel32,26-538:Kernel32,220-220:_getch,method,completed,success,Compilation successful,2026-06-18T20:25:29.534751
jansi.src.main.org.fusesource.jansi.internal.Kernel32,26-538:Kernel32,227-227:SetConsoleTitle,method,completed,success,Compilation successful,2026-06-18T20:25:40.089581
jansi.src.main.org.fusesource.jansi.internal.Kernel32,26-538:Kernel32,234-234:GetConsoleOutputCP,method,completed,success,Compilation successful,2026-06-18T20:25:52.578547
